Parameter ID,Section,Model,Parameter Name,Explanation,Measurement,Low Bias,Low Value,High Bias,High Value,Value Type,Example
MEM_DECAY,Cognition,Memory,Memory Decay Rate,Rate at which memories lose weight,Score 0–1,Lower Memory Decay Rate,0,Higher Memory Decay Rate,1,Percentage,0.3
MEM_LONG,Cognition,Memory,Long-term Memory Recall Bias,Likelihood of recalling older memories,Score 0–1,Lower Long-term Memory Recall Bias,0,Higher Long-term Memory Recall Bias,1,Percentage,0.5
MEM_SHORT,Cognition,Memory,Short-term Memory Sensitivity,How strongly recent context is weighted,Score 0–1,Lower Short-term Memory Sensitivity,0,Higher Short-term Memory Sensitivity,1,Percentage,0.5
SUB_NUDGE,Commercial,Subscription,Subscription Nudge Frequency,How often subscription value is surfaced,Score 0–1,Lower Subscription Nudge Frequency,0,Higher Subscription Nudge Frequency,1,Percentage,0.2
SUB_URGENCY,Commercial,Subscription,Subscription Urgency,Strength of urgency framing,Score 0–1,Lower Subscription Urgency,0,Higher Subscription Urgency,1,Percentage,0.2
CONV_DEPTH,Conversation,Dynamics,Conversation Depth,Surface vs deep discussion tendency,Score 0–1,Lower Conversation Depth,0,Higher Conversation Depth,1,Percentage,0.5
CONV_DOM,Conversation,Dynamics,Conversation Dominance,User vs assistant talk balance,Score 0–1,Lower Conversation Dominance,0,Higher Conversation Dominance,1,Percentage,0.5
CONV_EMO,Conversation,Dynamics,Emotional Intensity,Level of emotional expression,Score 0–1,Lower Emotional Intensity,0,Higher Emotional Intensity,1,Percentage,0.5
CONV_PACE,Conversation,Dynamics,Conversation Pace,Speed of conversational turns,Score 0–1,Lower Conversation Pace,0,Higher Conversation Pace,1,Percentage,0.5
CA-REPAIR-001,Conversation Analysis,Conversation,repair_initiation_rate,"How often participants signal problems in hearing/understanding and initiate repair (e.g., “sorry?”, “what do you mean…”, self-repair “I mean…”).",Score 0–1,Either very clear comms OR undetected misunderstandings (will show up later in outcomes),0,Many clarity/noise problems harming fluency,1,Percentage,0.1
CP-001,Conversational Purpose,Conversation,topic_relevance,"Degree to which assistant utterances stay aligned with the current user topic/intent, avoiding tangents.",Score 0–1,Exploratory / tangential,0,Highly on-topic / focused,1,Percentage,0.85
CP-002,Conversational Purpose,Conversation,goal_alignment,"Extent to which both participants make progress toward an explicit or implicit goal (task completion, decision, plan).",Score 0–1,Chat-only / low progress,0,Cooperative progress / efficient completion,1,Percentage,0.75
CP-003,Conversational Purpose,Conversation,small_talk_ratio,Proportion of phatic/social talk relative to goal-directed talk. Useful for rapport but can harm efficiency in task calls.,Score 0–1,All business,0,Mostly small talk,1,Percentage,0.2
CP-004,Conversational Purpose,Conversation,engagement_level,"Strength and persistence of user involvement (turn-taking, elaboration, follow-ups) during the interaction.",Score 0–1,Low engagement / minimal responses,0,Highly engaged / invested,1,Percentage,0.65
HF-GRD-001,Guardrails,HF,guardrail_strictness,"How conservative HF should be in risky/ambiguous situations (health, self-harm, privacy, manipulation). Higher = safer but less flexible.",Score 0–1,Permissive,0,Very conservative,1,Percentage,0.7
LS-001,Learning Style,VARK,learning_style_mix,"Preferred modality mix for receiving information: Visual, Auditory, Read/Write, Kinesthetic. Affects how HF explains and reinforces.",4-way distribution,Single-mode rigid delivery,"(V,A,R,K)",Balanced multi-modal delivery,"(V,A,R,K)",Json,"{""V"":0.2,""A"":0.4,""R"":0.2,""K"":0.2}"
HF-MEM-001,Memory,HF,memory_recall_strength,How aggressively HF should surface remembered facts/preferences when relevant. Higher increases personalisation but risks creepiness.,Score 0–1,Only on explicit request,0,Proactive recall,1,Percentage,0.35
MOT_GOAL,Motivation,Goals,Goal Orientation,Focus on task vs exploration,Score 0–1,Lower Goal Orientation,0,Higher Goal Orientation,1,Percentage,0.6
MOT_REWARD,Motivation,Rewards,Reward Responsiveness,How strongly rewards influence behaviour,Score 0–1,Lower Reward Responsiveness,0,Higher Reward Responsiveness,1,Percentage,0.6
HF-OPT-001,Optimisation Rules,HF,subscription_nudge_intensity,"How strongly HF should steer toward retention actions (summaries, value framing, next-step prompts) without harming trust.",Score 0–1,No nudges,0,Frequent/strong nudges,1,Percentage,0.15
TONE_ASSERT,Persona,Tone,Assertiveness,Directiveness of assistant responses,Score 0–1,Lower Assertiveness,0,Higher Assertiveness,1,Percentage,0.5
TONE_FORM,Persona,Tone,Formality Level,Casual vs formal tone,Score 0–1,Lower Formality Level,0,Higher Formality Level,1,Percentage,0.4
TONE_WARM,Persona,Tone,Warmth,Emotional warmth of responses,Score 0–1,Lower Warmth,0,Higher Warmth,1,Percentage,0.6
BF_A,Personality,BigFive,Agreeableness,"Cooperation, empathy, trust",Score 0–1,Lower Agreeableness,0,Higher Agreeableness,1,Percentage,0.5
BF_C,Personality,BigFive,Conscientiousness,"Self-discipline, organisation, reliability",Score 0–1,Lower Conscientiousness,0,Higher Conscientiousness,1,Percentage,0.5
BF_E,Personality,BigFive,Extraversion,Sociability and stimulation-seeking,Score 0–1,Lower Extraversion,0,Higher Extraversion,1,Percentage,0.5
BF_N,Personality,BigFive,Neuroticism,Emotional volatility and stress sensitivity,Score 0–1,Lower Neuroticism,0,Higher Neuroticism,1,Percentage,0.5
BF_O,Personality,BigFive,Openness,"Curiosity, imagination, openness to experience",Score 0–1,Lower Openness,0,Higher Openness,1,Percentage,0.5
MBTI_EI,Personality,MBTI,Extraversion vs Introversion,Determines social energy orientation,Enum E/I,Option E,E,Option I,I,Categorical,E
MBTI_JP,Personality,MBTI,Judging vs Perceiving,Determines structure vs flexibility preference,Enum J/P,Option J,J,Option P,P,Categorical,P
MBTI_SN,Personality,MBTI,Sensing vs Intuition,Determines information processing style,Enum S/N,Option S,S,Option N,N,Categorical,N
MBTI_TF,Personality,MBTI,Thinking vs Feeling,Determines decision-making preference,Enum T/F,Option T,T,Option F,F,Categorical,F
B5-A,Personality Type,Big Five,agreeableness,"Agreeableness: warmth, empathy, cooperativeness vs scepticism. Controls tone, challenge intensity, and conflict handling.",Score 0–1,Sceptical / challenging,0,Warm / cooperative,1,Percentage,0.75
B5-C,Personality Type,Big Five,conscientiousness,"Conscientiousness: organisation, reliability, follow-through. Controls how much HF pushes structure, plans, reminders.",Score 0–1,Spontaneous / low structure,0,Highly structured / diligent,1,Percentage,0.6
B5-E,Personality Type,Big Five,extraversion,"Extraversion: sociability, assertiveness, stimulation. Overlaps MBTI I/E but used as continuous trait.",Score 0–1,Low stimulation,0,High stimulation,1,Percentage,0.55
B5-N,Personality Type,Big Five,neuroticism,"Neuroticism: sensitivity to stress/negative affect. Controls reassurance, pacing, and emotional check-ins.",Score 0–1,Calm / resilient,0,Stress-sensitive,1,Percentage,0.4
B5-O,Personality Type,Big Five,openness,"Openness to experience: curiosity, novelty-seeking, abstraction vs practicality. Controls creativity vs concreteness.",Score 0–1,Conventional / concrete,0,Curious / imaginative,1,Percentage,0.7
MBTI-IE,Personality Type,Myers Briggs,introversion_extraversion,"Preference for internal reflection vs external stimulation in interaction style. Controls pace, verbosity, and solicitation style.",Score 0–1,Introversion bias (I),0,Extraversion bias (E),1,Dual Ratio,0.2I : 0.8E
MBTI-JP,Personality Type,Myers Briggs,judging_perceiving,"Preference for structure/closure vs flexibility/openness. Controls planning, commitments, and how often to summarise/decide.",Score 0–1,Perceiving bias (P),0,Judging bias (J),1,Dual Ratio,0.7J : 0.3P
SAFE_BOUND,Safety,Guardrails,Boundary Strictness,How rigid safety boundaries are enforced,Score 0–1,Lower Boundary Strictness,0,Higher Boundary Strictness,1,Percentage,0.7
SAFE_CHALL,Safety,Guardrails,Challenge Sensitivity,Tolerance for challenging user beliefs,Score 0–1,Lower Challenge Sensitivity,0,Higher Challenge Sensitivity,1,Percentage,0.5
GALLUP-001,Strengths,Gallup CliftonStrengths,strengths_top_themes,"Top CliftonStrengths themes (if known). Used to tailor motivation, framing, and reward signals.",List of themes,Unknown / generic framing,[],Highly personalised strengths framing,[themes],List,"[""Learner"",""Strategic"",""Relator""]"
SYS-001,System,System,prompt_swap_latency_ms,Maximum allowed time to apply a prompt swap (A→B) once triggered. Used to monitor realtime control path health.,Milliseconds,Favors stability over responsiveness,2000,Favors responsiveness over stability,200,Number,500
SYS-002,System,System,stub_mode,"Whether HF should use dummy/stubbed data sources (e.g., transcripts, calls) instead of live integrations. Enables offline demos.",Boolean,Live integrations only,0,Stubbed data only,1,Boolean,1
