Parameters for High-Quality Dyadic Conversations (Eldar Boaz Revised 27/11/2025),column 2,column 3,column 4,column 5,Priorety - Eldar,Priorety - Boaz,column 8,column 9,column 10,column 11,column 12,column 13
SECTION A — Conversational Purpose,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
topic_relevance,Degree to which utterances match the conversation’s goal or current topic. Reframed to align with the merged taxonomy’s definition of Conversational Purpose.,Track semantic similarity of turns to the main topic or task using topic models or dialogue act analysis.,"High: Clear focus and coherent progress. Low: Confusion, topic drift, and reduced perceived usefulness.",Grice’s Maxim of Relevance.,5,4,,,,,,
goal_alignment,Extent to which both participants work toward the same conversational goal. Includes didactic goal alignment for teaching and tutoring scenarios.,"Detect whether questions receive appropriate answers, instructions lead to relevant responses, and contributions build toward the same outcome.","High: Cooperative progress and efficient task completion. Low: Parties talk at cross-purposes, causing frustration.",Collaborative communication and common ground.,3,5,,,,,,
small_talk_ratio,Proportion of phatic or social talk relative to task-focused content.,"Identify segments of greetings, pleasantries, and non-task comments versus substantive content.",High: Helpful for rapport in relational contexts but harmful for efficiency in task-focused calls. Low: Efficient but may feel cold or impersonal.,Phatic communication.,3,3,,,,,,
Engagement_level,Strength and persistence of user involvement with the topic beyond raw speaking time.,"Prosodic energy, back-channel density, latency of responses, and evidence of cognitive following, such as paraphrases or relevant follow-up questions.","High: User remains mentally active and invested even during listening phases. Low: Signs of drift, withdrawal, or only superficial participation.",{{BLUE:Engagement theory in instructional communication and learning analytics.}},5,5,,,,,,
SECTION B — Participant Roles,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
speaking_time_balance,"Balance of speaking time between participants, reflecting symmetry versus dominance. {{BLUE:Clarified to match merged taxonomy role-distribution framing.}}",Measure total speaking duration or word count per speaker and compute proportions.,"High balance: Both participants contribute and feel heard. Low balance: One dominates, which can reduce engagement if not expected by the setting.",Conversational dominance literature.,3,4,,,,,,
interruption_rate,Frequency of interruptions or overlapping speech indicating how well turn-taking is managed.,Detect overlaps where one speaker starts before the other finishes and note who initiates them.,"High: Can signal impatience or power assertion and disrupt flow. Low: Orderly turn-taking and perceived respect, unless the context expects lively overlap.",Turn-taking and dominance research.,4,5,,,,,,
listener_responsiveness,Frequency and timing of back-channel signals and acknowledgements from the listener.,Count short acknowledgements such as “mm-hmm” and “yeah” and check if they occur at appropriate junctures.,High: Signals active listening and supports grounding. Low: Speaker is unsure they are understood and may repeatedly check in.,Grounding in communication.,3,3,,,,,,
role_switch_frequency,"How often speaker and listener roles switch organically, indicating shared agency.","Track sequences of who holds the floor and when initiative shifts between asking, answering, and narrating.","High: Dynamic, collaborative interaction with shared initiative. Low: One party drives the conversation almost entirely, which can reduce the other’s engagement.",Conversational agency and role theories.,5,3,,,,,,
SECTION C — Social and Cultural Context,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
power_formality,Level of formality and power-distance cues in speech.,"Analyse polite forms, titles, hedging, and deferential tone compared to casual language and equal turn-taking.","High: Respectful but distant interaction, suitable for hierarchical contexts. Low: Informal peer-like tone, which can build comfort but may be risky in high power-distance settings.",Politeness theory.,3,2,,,,,,
politeness_level,Degree of politeness and face-saving behaviour in language use.,"Detect markers such as please, thank you, apologies, softeners, and indirect requests.","High: Courteous, face-preserving climate. Low: Blunt or potentially rude tone, fast but more likely to cause friction unless frankness is expected.",Brown and Levinson’s Politeness Theory.,2,4,,,,,,
cultural_style_adaptation,Adaptation to the partner’s expected cultural communication style within voice aspects.,"Observe adjustments in rate, formality, directness, and turn-taking to converge with the partner’s apparent norms.",High: Reduces misinterpretation and increases comfort. Low: Style clashes and perceived rudeness or awkwardness.,Communication Accommodation Theory.,4,4,,,,,,
Personality_adaptation,"Adaptation of the agent’s communication style to the user’s personality profile, such as direct versus reflective, fast-paced versus slow-paced","Detection of preferred pace, directness, and complexity from user behaviour and subsequent alignment of agent prosody and wording.","High: Higher comfort, perceived understanding, and sustained engagement. Low: Mismatch that can feel jarring or impersonal.",{{BLUE:Personalisation in HCI and adaptive dialogue systems.}},5,5,,,,,,
SECTION D — Cognitive Framing and Grounding,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
grounding_cues,Evidence that participants are checking and displaying mutual understanding.,"Detect acknowledgements, clarifying questions, and paraphrases of the partner’s points.",High: Fewer misunderstandings and a shared mental model. Low: Latent misinterpretations accumulate and derail the conversation later.,Grounding in communication.,4,5,,,,,,
cooperative_tone,Whether language and turn management frame the interaction as cooperative rather than competitive.,"Analyse inclusive pronouns, supportive statements, and idea-building versus frequent contradictions and rebuttals.",High: Team-like problem solving and low defensiveness. Low: Debate and one-upmanship that increase tension.,Cooperative versus competitive communication.,4,3,,,,,,
perspective_alignment,Degree to which participants acknowledge and align with each other’s framing of the issue.,"Listen for explicit perspective-taking, mirroring of key terms, and reframing into common terms.",High: Both feel heard and can resolve issues faster. Low: Talking past each other with circular arguments and confusion.,Framing and common ground theories.,4,5,,,,,,
Learning_quality,Evidence that the learner is internalising knowledge and skills over the course of didactic conversations.,"Accuracy of learner summaries, successful recall after delays, decreasing need for clarification on the same concept, and correct application in new examples.","High: Conversation leads to durable understanding and skill acquisition. Low: Interaction remains superficial, with repeated misunderstandings and poor transfer.",{{BLUE:Instructional scaffolding and formative assessment in educational communication.}},3,5,,,,,,
SECTION E — Relational History and Accommodation,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
familiarity_indicators,Signs that speakers share a relational history or prior knowledge of each other.,"Detect use of personal names, nicknames, inside references, and shorthand that assumes prior events.","High: Relaxed, efficient dialogue using shared shortcuts. Low: Formal, explicit talk suitable for first encounters but higher effort to build common ground.",Social distance and relational history.,5,4,,,,,,
humor_shared,Use of humour and shared laughter reflecting camaraderie.,Identify jokes and laughter that are mutually coordinated rather than one-sided.,"High: Strong social bonding and positive affect. Low: Serious or stiff tone, which may be appropriate for some contexts but limits bonding in casual ones.",Laughter as social bonding.,2,3,,,,,,
communication_accommodation,Degree of adaptation in speech style specifically linked to relational closeness.,"Monitor convergence in accent, rhythm, rate, and shared slang over time.",High: Signals empathy and solidarity. Low: Persistent stylistic distance that may reflect or create emotional distance.,Communication Accommodation Theory.,2,3,,,,,,
intimacy_closeness_level,"Depth of emotional closeness and personal connection expressed in the conversation, within safe and ethical limits.","Frequency and reciprocity of personal disclosure, warmth markers in tone, and continued engagement with personal themes across turns.",High: Strong rapport and trust but requires guardrails to avoid unhealthy dependency. Low: Interaction remains transactional and impersonal.,{{BLUE:Interpersonal closeness and self-disclosure theories.}},5,3,,,,,,
SECTION F — Communicative Resources (Voice-Based),,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
speech_rate,Speed of speech production and whether it is moderate and adaptive.,Compute words or syllables per minute and track adjustments toward the partner’s rate.,High: Very fast speech risks overload and missed cues. Moderate: Easiest to follow and most flexible. Low: Very slow speech can bore or frustrate unless the user clearly prefers it.,Speech entrainment and conversational rhythm.,2,4,,,,,,
turn_timing,"Timing of turn exchanges, including gap length and overlap at boundaries.",Measure silence duration between turns and overlap length when speakers talk at the same time.,"High quality: Short, well-timed gaps and minimal chaotic overlap support natural flow. Poor timing: Long gaps and frequent mis-timed overlaps make the interaction feel awkward or disjointed.",Turn-taking system in conversation analysis.,3,4,,,,,,
prosodic_variability,"Expressiveness in pitch, intonation, and loudness.","Analyse pitch range, contour variety, and volume dynamics across utterances.","High: Engaging, emotionally transparent speech. Low: Monotone delivery that is harder to read and may reduce attention.",Voice prosody and affect communication.,5,3,,,,,,
articulation_clarity,Clarity and intelligibility of pronunciation.,Use acoustic features and recognition confidence to estimate how clearly phonemes and words are produced.,"High: Low repair rate and efficient understanding. Low: Frequent repairs, mishearing, and user effort that reduce perceived quality.",Speech intelligibility research.,3,3,,,,,,
filler_frequency,Frequency of fillers and disfluencies such as “um” and “uh”.,Count fillers per unit of speech and check their placement within or between clauses.,High: Signals cognitive load or nervousness and disrupts flow when excessive. Moderate: Natural and human-like. Very low: Fluent but can sound scripted if completely absent.,Psycholinguistic work on speech disfluency.,2,3,,,,,,
SECTION G — Emotional Tone,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
sentiment_valence,Overall emotional positivity or negativity conveyed by words and voice.,"Combine lexical sentiment analysis with vocal tone classification for positive, neutral, or negative affect.","High: Friendly, supportive atmosphere that increases satisfaction. Low: Critical or hostile tone that erodes trust and comfort.",Positive to negative interaction ratio in relationship research.,5,4,,,,,,
emotional_intensity,"Level of emotional arousal, from calm to highly charged.","Monitor loudness, pitch variability, and tempo in emotionally marked segments.",High: Can energise when positive but can threaten or overwhelm when negative. Moderate: Expressive yet controlled and often optimal for constructive dialogue. Low: Calm or flat tone that keeps things rational but may be perceived as indifference in affective contexts.,Affective arousal in vocal communication.,5,3,,,,,,
empathetic_tone,Degree of warmth and compassion expressed in voice when the partner shares experiences or difficulties.,"Detect softer prosody, slower tempo, and explicit empathetic phrases in response to emotional disclosures.","High: Builds trust, psychological safety, and openness. Low: Cold or dismissive responses that damage rapport and reduce willingness to share.",Empathy in communication and counselling.,5,3,,,,,,
well_being_contribution,"Extent to which the conversation contributes to the user’s emotional well-being over time, beyond a single turn.","Trend in sentiment and arousal across the session, reduction in distress markers, and user expressions of relief or uplift after interaction.",High: Supports well-being and mission goals in supportive agents. Low: Neutral or potentially harmful impact on mood.,{{BLUE:Communication for well-being and therapeutic alliance research.}},4,5,,,,,,
SECTION H — Trust and Rapport,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
prosodic_entrainment,"Alignment of prosodic features such as rate, pitch, and rhythm between speakers.","Compute convergence metrics for speech rate, pitch range, and timing over the course of the conversation.","High: Signals rapport, social attunement, and readiness to cooperate. Low: Persistent mismatch that can indicate distance or tension.",Interactional synchrony and entrainment.,4,3,,,,,,
shared_laughter_freq,Frequency of genuinely shared laughter events.,Detect moments where one’s joke leads to both laughing or overlapping laughter in response to the same trigger.,High: Strong bonding and enjoyment of the interaction. Low: Either serious tone or lack of shared humour that limits closeness in informal settings.,Social bonding through laughter.,2,3,,,,,,
empathetic_feedback,Verbal and vocal responses that validate the other’s feelings and experiences.,"Monitor for validating statements, supportive formulations, and matching affective tone when the other shares something emotional.",High: Deepens trust and connection and promotes continued disclosure. Low: Makes the interaction feel transactional and can lead to withdrawal.,Empathic communication and trust-building.,3,4,,,,,,
trusting_language,"Use of language that indicates trust, such as self-disclosure and acceptance of suggestions.","Identify personal disclosures, cooperative commitments, and explicit statements of trust or reliance.","High: Enables efficient coordination and deeper conversation. Low: Guarded speech, shallow topics, and frequent double-checking that slow progress.",Interpersonal trust in communication.,4,5,,,,,,
SECTION I — Topic Continuity,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
topic_coherence,How coherently the conversation stays on topic or transitions between related topics.,Use topic tracking to see whether each turn links clearly to prior content or introduces unrelated material.,"High: Easy-to-follow, substantive dialogue. Low: Scattered talk where participants lose the thread and important points get lost.",Discourse coherence and topic continuity.,5,5,,,,,,
topic_transition_signals,"Use of explicit verbal or prosodic signals to introduce, shift, or close topics.","Detect discourse markers such as anyway, moving on, and explicit summaries combined with pause patterns and intonation changes.",High: Structured feel where new topics are expected and closures are clear. Low: Abrupt shifts and dropped threads that confuse participants.,Conversation analysis of topic management.,5,5,,,,,,
topic_resolution,Extent to which raised topics and questions are resolved before moving on.,Track whether questions are answered and problems receive a conclusion or plan before the topic disappears.,"High: Sense of closure and purpose, especially in task or help contexts. Low: Many unresolved issues and user dissatisfaction.",Common ground and task completion in dialogue.,5,4,,,,,,
SECTION J — Error Handling and Repair,,,,,,,,,,,,
Parameter,Explanation,Measurement (Voice-Only),Effect of High vs Low Values,Relevant Theory / Framework,,,,,,,,
repair_initiation_rate,How often participants signal problems in hearing or understanding and initiate repair.,"Count other-initiated and self-initiated repairs with phrases such as sorry, what do you mean, or I mean.","High: Many problems with clarity or noise, which harms fluency. Low: Either clear communication or undetected misunderstandings that will show up later in outcomes.",Repair organisation in conversation analysis.,5,5,,,,,,
clarification_strategy,Effectiveness of the strategies used to resolve misunderstandings.,"Observe whether clarifications are specific, such as do you mean X, and whether they quickly lead to shared understanding.","High: Problems are fixed in one or two turns with minimal disruption. Low: Repeated, vague clarifications that frustrate and still leave ambiguity.",Grounding and collaborative repair.,5,3,,,,,,
error_recovery_time,Time and effort needed to resolve a misunderstanding once it is noticed.,Count the number of turns from first repair signal to clear resolution and whether both sides cooperate.,Short: Flow remains intact and effort stays low. Long or unresolved: Momentum is lost and later parts of the conversation rest on shaky understanding.,Least collaborative effort in grounding.,3,5,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Section,Parameters in Section,Relevant Theories / Frameworks,Section Explanation
,,,,,,,,,**SECTION A — Conversational Purpose & Engagement**,"topic_relevance, goal_alignment, small_talk_ratio, Engagement_level","Grice’s Maxim of Relevance, Collaborative communication and common ground, Phatic communication, Engagement theory in instructional communication and learning analytics.","Focuses on how well the conversation stays on track, achieves mutual goals, manages social vs. task content (phatic communication), and measures the user's active mental investment in the dialogue."
,,,,,,,,,**SECTION B — Participant Roles**,"speaking_time_balance, interruption_rate, listener_responsiveness, role_switch_frequency","Conversational dominance literature, Turn-taking and dominance research, Grounding in communication, Conversational agency and role theories.","Describes the dynamics of participation, including who dominates the speaking time, the smoothness of turn-taking, and the distribution of control and responsiveness between speakers."
,,,,,,,,,**SECTION C — Social and Cultural Context**,"power_formality, politeness_level, cultural_style_adaptation, Personality_adaptation","Politeness theory, Brown and Levinson’s Politeness Theory, Communication Accommodation Theory, Personalisation in HCI and adaptive dialogue systems.","Assesses how social and cultural norms influence the interaction, including the level of politeness and formality (power distance) and how speakers adjust their style to match their partner's culture or personality."
,,,,,,,,,**SECTION D — Cognitive Framing and Grounding**,"grounding_cues, cooperative_tone, perspective_alignment, Learning_quality","Grounding in communication, Cooperative versus competitive communication, Framing and common ground theories, Instructional scaffolding and formative assessment in educational communication.","Examines how speakers ensure mutual understanding (grounding), whether the interaction is collaborative, how perspectives are aligned, and the quality of knowledge transfer in didactic contexts."
,,,,,,,,,**SECTION E — Relational History and Accommodation**,"familiarity_indicators, humor_shared, communication_accommodation, intimacy_closeness_level","Social distance and relational history, Laughter as social bonding, Communication Accommodation Theory, Interpersonal closeness and self-disclosure theories.","Measures the signs of an existing relationship (familiarity/intimacy) and how speakers adapt their style based on relational closeness, including the use of shared humour and personal disclosure."
,,,,,,,,,**SECTION F — Communicative Resources (Voice-Based)**,"speech_rate, turn_timing, prosodic_variability, articulation_clarity, filler_frequency","Speech entrainment and conversational rhythm, Turn-taking system in conversation analysis, Voice prosody and affect communication, Speech intelligibility research, Psycholinguistic work on speech disfluency.","Focuses on the purely vocal and technical aspects of delivery, such as the speed, rhythm, clarity (articulation/prosody), and fluency (filler words) of the speech."
,,,,,,,,,**SECTION G — Emotional Tone**,"sentiment_valence, emotional_intensity, empathetic_tone, well_being_contribution","Positive to negative interaction ratio in relationship research, Affective arousal in vocal communication, Empathy in communication and counselling, Communication for well-being and therapeutic alliance research.","Evaluates the emotional content of the dialogue, including the overall positivity (valence), arousal (intensity), expression of warmth (empathy), and the conversation's impact on the user's emotional state."
,,,,,,,,,**SECTION H — Trust and Rapport**,"prosodic_entrainment, shared_laughter_freq, empathetic_feedback, trusting_language","Interactional synchrony and entrainment, Social bonding through laughter, Empathic communication and trust-building, Interpersonal trust in communication.","Measures the key indicators of social connection and mutual faith, such as mirroring speech patterns (entrainment), shared positive affect (laughter), verbal validation, and explicit language of self-disclosure or reliance."
,,,,,,,,,**SECTION I — Topic Continuity**,"topic_coherence, topic_transition_signals, topic_resolution","Discourse coherence and topic continuity, Conversation analysis of topic management, Common ground and task completion in dialogue.","Looks at the structural management of the conversation's content, focusing on how clearly topics are introduced and linked (coherence), the use of signals for shifts, and ensuring that topics and questions are brought to a clear conclusion."
,,,,,,,,,**SECTION J — Error Handling and Repair**,"repair_initiation_rate, clarification_strategy, error_recovery_time","Repair organisation in conversation analysis, Grounding and collaborative repair, Least collaborative effort in grounding.","Concerns how efficiently and collaboratively speakers manage communication breakdowns, including how often repairs are initiated, the effectiveness of clarification methods, and the time/effort required to restore mutual understanding."
